number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,state
146,0.7604186402871835,2025-10-14 01:48:28.926945,2025-10-14 01:48:46.380531,0 days 00:00:17.453586,0.6881424012244901,6,gbdt,0.6518027893273683,0.09367259173648664,1.0756156100268481,0.012593942004189073,8,43,0.03212934503655056,24,COMPLETE
147,0.759128296644445,2025-10-14 01:48:46.383566,2025-10-14 01:49:16.247043,0 days 00:00:29.863477,0.8135149948868872,6,gbdt,0.6753644686486754,0.23633796132567797,0.8398791842326448,0.011118763424237453,7,38,0.046456125670589585,72,COMPLETE
148,0.7607617051096222,2025-10-14 01:49:16.252156,2025-10-14 01:49:36.333936,0 days 00:00:20.081780,0.861006358873251,6,gbdt,0.6253096244351246,0.6136826073913597,1.8546491998079986,0.01964579303842972,9,51,0.03688365756517632,32,COMPLETE
149,0.7602776668673232,2025-10-14 01:49:36.338692,2025-10-14 01:51:48.643746,0 days 00:02:12.305054,0.8492154591901059,7,dart,0.8018940991104125,0.36832171532023816,1.14929107754814,0.013340061627498179,8,41,0.04877016816236278,48,COMPLETE
150,0.7594624130858788,2025-10-14 01:51:48.648374,2025-10-14 01:52:09.668245,0 days 00:00:21.019871,0.7627974837100014,3,gbdt,0.8353257876531966,0.3376960900652403,1.2346478201881221,0.010565428482822433,7,46,0.04231202199231734,16,COMPLETE
151,0.7612997490329709,2025-10-14 01:52:09.670847,2025-10-14 01:52:31.271129,0 days 00:00:21.600282,0.8927372936965055,6,gbdt,0.6656261492747937,0.3024025048746413,1.0332218500888222,0.014527123171530378,8,39,0.01836257220105814,56,COMPLETE
152,0.7596883682296518,2025-10-14 01:52:31.273731,2025-10-14 01:53:00.641916,0 days 00:00:29.368185,0.8820628062920404,4,gbdt,0.670325690590462,0.2756317565062511,1.0996223396307727,0.013787713872898144,8,36,0.023840883801106147,56,COMPLETE
153,0.7610575460815876,2025-10-14 01:53:00.646428,2025-10-14 01:53:23.289846,0 days 00:00:22.643418,0.8739433730371914,6,gbdt,0.6623891292229214,0.2406791046294341,0.9809359345160162,0.012000760141089056,8,34,0.020107137739638917,56,COMPLETE
154,0.7605758906598615,2025-10-14 01:53:23.292311,2025-10-14 01:53:39.524275,0 days 00:00:16.231964,0.8939657485887934,4,gbdt,0.6467817410065537,0.27704461007818393,0.6482994127422916,0.01652944586942609,9,39,0.049622480236945606,64,COMPLETE
155,0.7605108095018804,2025-10-14 01:53:39.526602,2025-10-14 01:54:16.364324,0 days 00:00:36.837722,0.9163583620379722,6,gbdt,0.6905279172378783,0.1517080044046525,1.3375761223307148,0.01012939019039052,8,32,0.021918964562438505,48,COMPLETE
156,0.7636242801608152,2025-10-14 01:54:16.368767,2025-10-14 01:54:35.181031,0 days 00:00:18.812264,0.9055094284104167,6,gbdt,0.6807426852258752,0.3182565921517314,0.06834504087496518,0.015470327280019703,9,64,0.02379360490236626,40,COMPLETE
157,0.7595713634139738,2025-10-14 01:54:35.183459,2025-10-14 01:54:53.791745,0 days 00:00:18.608286,0.7207200294829976,5,gbdt,0.6853173631143461,0.4059418039689984,0.24364460736472196,0.018535381408036428,9,68,0.047586981223379066,40,COMPLETE
158,0.7602189832716733,2025-10-14 01:54:53.796433,2025-10-14 01:55:15.526201,0 days 00:00:21.729768,0.7492498182986512,6,gbdt,0.7056715072256603,0.33749560818890995,0.4099105421586606,0.015454085649820341,9,63,0.03321882544782683,40,COMPLETE
159,0.7620307122336429,2025-10-14 01:55:15.528556,2025-10-14 01:55:32.509098,0 days 00:00:16.980542,0.950313815007765,6,gbdt,0.8734945132691031,0.38167360106821785,0.05544547510494203,0.01765165398485635,10,75,0.04035635889303483,40,COMPLETE
160,0.7621923318594889,2025-10-14 01:55:32.511550,2025-10-14 01:55:47.911341,0 days 00:00:15.399791,0.9517181038527575,7,gbdt,0.8477166069042898,0.4545028317131587,1.7538493726710984,0.020743960981766348,11,65,0.0387155724517234,32,COMPLETE
161,0.7602982490741887,2025-10-14 01:55:47.916783,2025-10-14 01:56:02.287892,0 days 00:00:14.371109,0.9793088849640521,7,gbdt,0.889483034810924,0.4794017365238054,0.11065829754437795,0.020730594668581976,12,56,0.03911645168662101,32,COMPLETE
162,0.758703723700958,2025-10-14 01:56:02.290382,2025-10-14 01:56:13.679295,0 days 00:00:11.388913,0.925378807815885,7,gbdt,0.8429661837096983,0.45481778729322353,0.05048977620459838,0.02217509491000119,11,65,0.03830423665032996,40,COMPLETE
163,0.7612860292055615,2025-10-14 01:56:13.682210,2025-10-14 01:56:32.619822,0 days 00:00:18.937612,0.9499657855985164,7,gbdt,0.8799870330320417,0.42393894407124577,0.11547430683625516,0.017418587178699572,11,76,0.035903260899627025,32,COMPLETE
164,0.7618168617726204,2025-10-14 01:56:32.622268,2025-10-14 01:56:47.784558,0 days 00:00:15.162290,0.9597920484109307,7,gbdt,0.8366558747209522,0.370214091473032,1.9515734975799728,0.018857824572210847,11,58,0.039991508984535545,40,COMPLETE
165,0.7618921643507179,2025-10-14 01:56:47.788895,2025-10-14 01:57:02.161499,0 days 00:00:14.372604,0.9603696802273584,7,gbdt,0.8741512564624202,0.38369711529201234,1.8704302541399307,0.01983882137956254,11,57,0.04021362885075206,40,COMPLETE
166,0.7603813491063687,2025-10-14 01:57:02.164531,2025-10-14 01:57:15.618906,0 days 00:00:13.454375,0.963089652861712,7,gbdt,0.8761550737698097,0.3948486454892263,1.7974942620100496,0.020170351932437554,11,60,0.04027192325397297,40,COMPLETE
167,0.7610677569784711,2025-10-14 01:57:15.621526,2025-10-14 01:57:28.039855,0 days 00:00:12.418329,0.9916774258106644,7,gbdt,0.8148035878701826,0.4411742066105091,1.7267993948909763,0.01896404685302394,11,58,0.0406716775440487,40,COMPLETE
168,0.760449766400698,2025-10-14 01:57:28.042675,2025-10-14 01:57:39.779725,0 days 00:00:11.737050,0.9844551207507433,7,gbdt,0.8668279998380258,0.3896444457250936,1.9455127573728495,0.02137728056110758,12,54,0.0416163938851874,40,COMPLETE
169,0.7608636225966054,2025-10-14 01:57:39.782008,2025-10-14 01:57:53.143162,0 days 00:00:13.361154,0.9691715701993449,7,gbdt,0.845814500628947,0.3666910805462913,1.9388389553913843,0.022601349201032628,10,64,0.03723972144470605,40,COMPLETE
170,0.7611814001649821,2025-10-14 01:57:53.147389,2025-10-14 01:58:08.474861,0 days 00:00:15.327472,0.9592630169014194,7,gbdt,0.8557287167209526,0.31908711190822886,1.8251462677398957,0.019468152152377217,11,58,0.03972935542570737,32,COMPLETE
171,0.7602863503208619,2025-10-14 01:58:08.477474,2025-10-14 01:58:28.433233,0 days 00:00:19.955759,0.9499036473975774,6,gbdt,0.8270984104585509,0.4144543301402507,1.8774406674196877,0.018041227899039176,10,55,0.03622534722205725,48,COMPLETE
172,0.7590711766377798,2025-10-14 01:58:28.436303,2025-10-14 01:58:44.924519,0 days 00:00:16.488216,0.9396908747258731,7,gbdt,0.9019600097927771,0.35090495202448263,1.7810059917740195,0.020270374567479384,10,67,0.03880179288697001,40,COMPLETE
173,0.7611047650164116,2025-10-14 01:58:44.929691,2025-10-14 01:58:58.252293,0 days 00:00:13.322602,0.951190704515035,6,gbdt,0.8606428628401882,0.5071797067486981,1.7460897384472411,0.023685217812168775,12,74,0.03815102992683787,40,COMPLETE
174,0.7614669641741744,2025-10-14 01:58:58.254802,2025-10-14 01:59:13.929329,0 days 00:00:15.674527,0.9984907899171662,7,gbdt,0.873284573685148,0.46876802707197435,1.9806675765426136,0.016589012521075492,11,56,0.03394193317472863,48,COMPLETE
175,0.7602807735246324,2025-10-14 01:59:13.932410,2025-10-14 01:59:28.503278,0 days 00:00:14.570868,0.9380215728784147,7,gbdt,0.9238162052095945,0.5608918990572815,0.045261271931073634,0.019155198572271628,10,70,0.042632158082310544,32,COMPLETE
176,0.7600856643931746,2025-10-14 01:59:28.506133,2025-10-14 01:59:43.177123,0 days 00:00:14.670990,0.9747572195112854,6,gbdt,0.8497579840898495,0.5377168641844645,0.1870452516845158,0.021610074717358426,11,62,0.03523018453615443,48,COMPLETE
177,0.760701835453939,2025-10-14 01:59:43.180569,2025-10-14 02:00:00.394488,0 days 00:00:17.213919,0.9070388151573893,4,gbdt,0.67966426084049,0.38143777767930237,1.6862376539723618,0.01839111971244243,10,53,0.04502091091854046,40,COMPLETE
178,0.7602843873752688,2025-10-14 02:00:00.396935,2025-10-14 02:00:16.235588,0 days 00:00:15.838653,0.9581109408731867,7,gbdt,0.9735401348317834,0.2955985725473432,1.893334315327698,0.0174423143456145,11,60,0.041432048938747586,48,COMPLETE
179,0.7595331484162335,2025-10-14 02:00:16.239212,2025-10-14 02:02:31.104208,0 days 00:02:14.864996,0.9285721752393847,6,dart,0.6558912406086418,0.17098840171815938,1.926022239642439,0.02684216181171496,9,94,0.04382290489646497,48,COMPLETE
180,0.7612903606781687,2025-10-14 02:02:31.108660,2025-10-14 02:02:44.647073,0 days 00:00:13.538413,0.8662985378339196,2,gbdt,0.8877714917790969,0.4357341335906555,1.5201994145197015,0.020803277980664375,12,80,0.04001375145565915,40,COMPLETE
181,0.7613141083532389,2025-10-14 02:02:44.650279,2025-10-14 02:03:02.493836,0 days 00:00:17.843557,0.8567467072809501,7,gbdt,0.8364743500249406,0.36548334049747705,1.1876718169692868,0.016938700765776735,8,49,0.037693663830772585,24,COMPLETE
